RECN,NAME,YOB,LEGALID,ADDRESS
68,Alice Gustavo,1987,ZK11978,"6909 Main St, Austin"
69,Joe Magda,1939,NA19145,"918 Maple St, Dublin"
70,Alice Sean,1977,AL18628,"894 Yellow St, Georgetown"
71,Darrin Smith,1968,NK11613,"281 Shallow Lake St, London"
72,Beth Robert,1959,GA11702,"4213 Spicewood Av, Hutto"
73,John Emily,1921,LL13491,"7566 Winter Fall St, Amarillo"
74,Mary Darrin,1927,WT12809,"3193 Yellow St, Amarillo"
75,George Mary,2000,LN19312,"1731 Fireoak Av, Paris"
76,George George,1929,ND12901,"6172 Maple St, Hutto"
77,Emily Fran,1951,EN12579,"5789 Big Sky Av, Amarillo"
78,Magda Darrin,1922,ZT15502,"4063 Spicewood Av, Dublin"
79,Michael Darrin,1945,GK12384,"8108 E 6th Street, London"
80,Darrin George,1924,NG10755,"1190 E 6th Street, Paris"
81,Mary George,1980,KT14197,"7402 Big Sky Av, Amarillo"
82,Emily Emily,1956,DK17090,"251 Fireoak Av, Amarillo"
83,Sean Darrin,2003,XZ12916,"6395 Yellow St, Paris"
84,Michael Magda,2007,EZ15123,"6617 Orange Maple St, Georgetown"
85,Smith Emily,1956,LE19676,"7458 Big Sky Av, Del Valle"
86,Darrin Mary,1931,SX11084,"2451 Winter Fall St, Paris"
87,John Natalie,1942,LA14166,"6790 Big Sky Av, London"
88,Michael David,1910,KA16892,"2941 Big Sky Av, Amarillo"
89,Gustavo Rebeca,1986,GN18359,"5073 Congress Av, Hutto"
90,Fran Fran,1952,WX14911,"7657 Shallow Lake St, Hutto"
91,Michael Robert,1944,NS12356,"5480 Main St, London"
92,Alice Gustavo,1979,XA10173,"1992 Windermeer St, Round Rock"
93,Michael Magda,1983,AG18052,"8305 E 6th Street, Dublin"
94,Robert Gustavo,2005,AD10702,"129 Shallow Lake St, Austin"
95,George Michael,1917,AX10757,"5323 Oak View St, Hutto"
96,Sean Joe,1988,TX11820,"1761 Main St, London"
97,Alice Robert,1928,AD15560,"7692 Windermeer St, Del Valle"
98,Gustavo Beth,1923,AT13936,"7400 Main St, Dublin"
99,Sean Sean,1954,ZA14897,"4378 E 6th Street, Dublin"
100,Sean Emily,1922,TX13385,"663 Fireoak Av, Austin"
